title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_location,reference_url
"Comic Books and Culture in the German Democratic Republic, 1955-1990: Between Constructions of Power and Childhood","Eedy, Sean","2016","In 1955, the East German Socialist Unity Party issued the Regulations for the Protection of Youth as a means of controlling publications for children and young people coming across the relatively open German-German border. At the same time, the regime authorized the creation of socialist comics in order to fill the gaps these regulations left in children&#39;s entertainment. However, as socialist alternatives to the perceived trash and filth represented by western comics and American influence, these East German comics were employed as extensions of the regime&#39;s education system, delivering the state&#39;s ideology in its efforts to develop the socialist personality among youth and generate genuine enthusiasm for the construction of state-socialism. Just as these comics organized children&#39;s activities and leisure time, they were taken up and read by East German children who made their own meanings of the publications&#39; contents. As much as these comics were meant to fulfill the state&#39;s ideological agendas and foster the spirit of socialism within these readers, the children themselves understood comics in terms of the perceived freedoms they allowed. As such, children projected their own desires, interests, and tastes upon these publications. These expectations limited the range of actions available to the regime for drawing these readers into participation with socialism and the SED-state. This dissertation approaches the subject of comics in the German Democratic Republic as constructions of state power and, in keeping with Foucault&#39;s governmentality thesis, as levers of power that allowed for the perpetuation of SED control. As children understood comics in ways different from the regime, comics are also examined in terms of J‚àö¬∫rgen Habermas&#39; critical public sphere insofar as they provided space for child-readers to make their own sense of the SED-state and the society around them despite these constructions of power. To this end, this dissertation examines archival records of the GDR youth groups and issues of Verlag Junge Welt&#39;s comics and children&#39;s magazines. This study argues that GDR comics were constructions of the regime&#39;s power at the same time that they provided fantasies of empowerment, escapism, and constructive of the experience of childhood under socialism.","European History; Modern","Germany;East Germany","","","","","","application/pdf","","Copyright the author, all rights reserved, unless otherwise indicated.","","","https://curve.carleton.ca/system/files/etd/90f6958b-1864-4081-a798-37530f540879/etd_pdf/c872d48ae829e5919e56fecb4356ba37/eedy-comicbooksandcultureinthegermandemocratic.pdf","https://shawngraham.github.io/test-collectionbuilder/items/hist_50.html"
"Making Connections, Imagining New Worlds: Women, Writing, and Resistance in Paris, 1897-1910","Hunter, Natalie Belinda","2016","This thesis examines two groups of women who lived and wrote in fin-de-siècle Paris. Marguerite Durand and the contributors to La Fronde used their writing to invade the male sector of journalism and prove they were capable of doing what men could, but doing it for women and without any men involved. Natalie Barney and Renée Vivien used poetry and theatre to remake Sappho&#39;s tradition in a way that prioritized her desire for women and her centrality to Lesbos&#39;s community of women to challenge sexological discourses that posited their own desires as isolating and corrupt. These case studies, taken together for the first time, suggest new lines of historical inquiry into women and how they used different types of writing in resistance to normative discourses that restricted them and their lives in Paris between 1897 and 1910.","European History; Literature; Modern","France;Paris","","","","","","application/pdf","","Copyright the author, all rights reserved, unless otherwise indicated.","","","https://curve.carleton.ca/system/files/etd/a298c81e-cf41-4cc0-9525-69c9c401e167/etd_pdf/e911a4e1484fa6d27569e7f341ad4c25/hunter-makingconnectionsimaginingnewworldswomenwriting.pdf","https://shawngraham.github.io/test-collectionbuilder/items/hist_51.html"
"Studying the Art of Growing Old with Metchnikoff, Hauser, Lowman, and Thompson: Advice About Aging, 1900-1960","Walton, Ann","2016","This work explores shifting attitudes about aging in the first half of the twentieth century by tracing the rise of four figures, and by examining discussions that surrounded their work on aging in the press. Bacteriologist Élie Metchnikoff, food scientist Gayelord Hauser, and advice columnists Josephine Lowman and Elizabeth Thompson were seen as authorities on their subjects and wrote during a period of significant change: increased longevity, the advent of retirement, and growing scientific interest in aging produced a plethora of press discussion that plunged into the  problem  of old age. Their &#39;prescriptions&#39; captivated attention in both Canada and the United States, illustrating the growing search for management and improvement that dominated discussions of aging. It is argued that while aging became the specialization of experts who studied it objectively, popular messages relayed that there was an  art  to growing old, its success determined by preparation, attitude, and personal will.","Canadian History","Canada;US","","","","","","application/pdf","","Copyright the author, all rights reserved, unless otherwise indicated.","","","https://curve.carleton.ca/system/files/etd/1df7ec9a-9984-4b32-bcfa-d4ed48b3072b/etd_pdf/60ba88b1dcb40dc0629ac1216f5922f1/walton-studyingtheartofgrowingoldwithmetchnikoff.pdf","https://shawngraham.github.io/test-collectionbuilder/items/hist_52.html"
"Irish Catholic Voluntary Associations in the Canadian Liberal Order, 1840-1882","McLaughlin, Mike","2016","This study will explore the ways in which Irish Catholic voluntary associations engaged with the Canadian liberal order in the nineteenth century by focusing especially on three specific associations that were formed at particular times to confront particular social problems: temperance societies, the Catholic League, and Home Rule branches. Some of these organizations opposed liberalism and the liberal state, while others disseminated liberal values. Some, like temperance societies, did both. Informed by Ian McKay&#39;s Liberal Order Framework, I have framed the Canadian context within which Irish Catholic voluntary associations functioned as a liberalizing society with a strong attachment to Protestant British identity. In studies focusing on state formation, democracy, and liberalism, scholars such as Alan Greer and Ian Radforth, Jeffrey McNairn, and Darren Ferry have positioned mainstream voluntary associations as having had a central role in the development of liberalism and the formation of the Canadian state. This study sets out to examine the extent to which Irish Catholic voluntary associations had a similar function.","Canadian History","Canada","","","","","","application/pdf","","Copyright the author, all rights reserved, unless otherwise indicated.","","","https://curve.carleton.ca/system/files/etd/3a34d9fd-69be-470d-98a4-c8a6f1436e97/etd_pdf/5190e060b497433fa2eaaaa5f48d1345/mclaughlin-irishcatholicvoluntaryassociationsinthecanadian.pdf","https://shawngraham.github.io/test-collectionbuilder/items/hist_53.html"
"If Japan Should Attack: Perceptions of Fear and Threat in British Columbias Newspapers, 1941-1943","McDonald, Paige","2016","From 1941 to 1943, incidents in the Pacific theatre of the Second World War seemed to bring the conflict closer and closer to the shores of British Columbia. Anxieties about a potential Japanese attack began to grow. British Columbia&#39;s newspapers discussed fear and anxiety through their articles, editorials and opinion pieces, bringing together the thoughts and words of Canada&#39;s military and government officials, and the writers and readers of the newspapers. The newspaper pieces dealing with the potential threat appeared most frequently surrounding major events in the Pacific, notably the attack on Pearl Harbor, the shelling of Estevan Point, and the Japanese occupation of the Aleutian Islands. Fear and threat were presented, debated, and reshaped within these newspaper communities. As the nature of the Japanese threat evolved with each major incident in the Pacific, so too did the discussions of fear.","Canadian History","Canada;British Columbia;Japan","","","","","","application/pdf","","Copyright the author, all rights reserved, unless otherwise indicated.","","","https://curve.carleton.ca/system/files/etd/a7cdc87c-5284-4f25-b0c8-b387256a4a37/etd_pdf/ae721c1204609d6b85bad08fae15aeb9/mcdonald-ifjapanshouldattackperceptionsoffearandthreat.pdf","https://shawngraham.github.io/test-collectionbuilder/items/hist_54.html"
"The Man Who Could Go Either Way: The Many Faces of Cowboy Masculinity in 1950s American Film and Advertising","Sidebottom, Evan Daniel Matson","2016","This thesis explores the cowboy as an iconic figure of white masculinity in the middle-class in 1950s America, focusing on film and advertising as a means of interpreting images of idealized manhood. It explores films including High Noon, Rio Bravo, and The Searchers, as well as print advertising from Levi&#39;s and Marlboro, to juxtapose different projections of masculinity. It finds that, contrary to expectation, the cowboy was not just a singular image of stoicism and martial power, opposed to domesticity and consumerism. Instead, he was more of a language through which different values could be expressed. This creates an intriguingly contradictory image: the cowboy is domesticity and anti-domesticity, invincibility and anxiety, fashion and anti-fashion, and a relic of America&#39;s past and the herald of its future all at once. In this regard he becomes a surrogate for diverse masculinities interacting on the backdrop of the early Cold War.","United States History; American Studies; Gender Studies","US","","","","","","application/pdf","","Copyright the author, all rights reserved, unless otherwise indicated.","","","https://curve.carleton.ca/system/files/etd/a066ec81-eacc-4589-a9f9-4ffa4b1a1c14/etd_pdf/779f451c690652516df816703af0a1a2/sidebottom-themanwhocouldgoeitherwaythemanyfacesofcowboy.pdf","https://shawngraham.github.io/test-collectionbuilder/items/hist_55.html"
"The Womens Canadian Historical Society of Ottawa: Constructing Public Memory and Preserving History in a Changing City, 1898-1932","Gunn, Connie","2016","This thesis examines the membership and work of the Women&#39;s Canadian Historical Society of Ottawa from 1898 to 1932. Through commemorations, historical tableaux, exhibitions of artefacts, and the publication, Transactions, they participated in the construction of a nationalist and imperialist collective memory, celebrating connections to the British Empire, a mythologized settler past, and Ottawa&#39;s evolution from lumber town to national capital. Analysis of the origins, class and ethnicity of the Society shows that French-Canadian participation fell and membership broadened as Ottawa became a government town. The thesis describes competition from the male-dominated Bytown Pioneer Association in 1923 over the commemoration of Colonel By, and it posits that the masculinization of the historical profession led the Society to abandon written accounts in Transactions, and focus upon the collection and display of artefacts in the Bytown Museum.","Canadian History","Canada;Ottawa","","","","","","application/pdf","","Copyright the author, all rights reserved, unless otherwise indicated.","","","https://curve.carleton.ca/system/files/etd/4b842d45-193a-4352-90d8-d0c37f420a91/etd_pdf/e70149c392f0762022a3165dfe4c6104/gunn-thewomenscanadianhistoricalsocietyofottawa.pdf","https://shawngraham.github.io/test-collectionbuilder/items/hist_56.html"
"Behind Closed Doors: Domestic Violence, Citizenship and State-Making in Divided Berlin, 1969-1990","Freeland, Jane Elizabeth Cooper","2016","This dissertation investigates the approaches taken to address domestic violence in East and West Berlin between 1969 and 1990. Both Germanys created a language to define domestic violence, which not only reflected and reinforced their self-definition as liberal or socialist states, but did so in a way that had important consequences for women and marginalized communities. Indeed, the contested interactions between the state, activists and citizens in responding to gender violence often centred on competing ideas on the role of gender and gender equality in society. Through an analysis of official state and grassroots responses to domestic violence, this dissertation argues that in addressing these forms of violence, competing visions of citizenship were negotiated by politicians, everyday Germans and activists alike. Although official efforts often only solidified normative heteropatriarchal visions of gender relationships, activists from either side of the Berlin Wall used citizenship as a standpoint to critique the state for failing to protect women from violence. Despite different levels of support available to women living with abusive partners in East and West, women across Germany were primarily responsible for tackling domestic violence and fomenting everyday gender equality. Placing the stories of East and West together then, makes these historically constituted processes of women&#39;s marginalization visible, highlighting the similarities that existed across the Berlin Wall, despite very different political systems. This research, one of the first in depth historical examinations of domestic violence in Germany, sheds light on the role of gender in the postwar processes of state-making in East and West by examining how domestic abuse was addressed and discussed at the state level, by feminist activists and by citizens, critically looking at how this impacted women&#39;s lives and their ability to leave a violent partner. This not only provides insight into how women&#39;s voices are heard within and by the state, but it also draws our attention to the way violence works to create and reinforce gendered forms of citizenship.‚Äö√Ñ√â","European History","Germany;Berlin","","","","","","application/pdf","","Copyright the author, all rights reserved, unless otherwise indicated.","","","https://curve.carleton.ca/system/files/etd/71e6d054-5b76-452e-9201-44590234d5df/etd_pdf/552edcc29b759ed94d055a322a4187f6/freeland-behindcloseddoorsdomesticviolencecitizenship.pdf","https://shawngraham.github.io/test-collectionbuilder/items/hist_57.html"
"The Reconfiguration of Eighteenth-Century Scottish Historiography: Dialogues Between the Present and the Past","Martini, Ronald John","2016","Changes occurred to the writing of History in eighteenth-century Scotland. Dissatisfied with traditional historical priorities Scottish historians changed the focus of their writing to reflect what was more relevant to contemporary sensibilities, giving new importance to the social aspects of daily life, the inward life of the sentiments, and the history of manners. This refocusing of historical emphasis was a response to a vibrant commercial society, to the era&#39;s social interests, to the period&#39;s predilection for delicate sensibilities and refined feelings, and to a burgeoning middle class. One of these new genres of historical writing was called conjectural history. This study discusses conjectural history, it asks a methodological question, and it looks at several different examples of the historical genres being written at this time.","European History","Scotland","","","","","","application/pdf","","Copyright the author, all rights reserved, unless otherwise indicated.","","","https://curve.carleton.ca/system/files/etd/d0da7862-ddbc-49a8-b0aa-b0d0034a57ff/etd_pdf/b388b1ef5c2e604063935cc4193af9ce/martini-thereconfigurationofeighteenthcenturyscottish.pdf","https://shawngraham.github.io/test-collectionbuilder/items/hist_58.html"
"The Kiss of Death Bestowed with Gratitude: The Postwar Treatment of Canadas Second World War Merchant Navy, Redress, and the Negotiation of Veteran Identity","Moore, Matthew Joseph","2016","This thesis focuses on the Merchant Navy&#39;s redress campaign and appraises shifting government attitudes towards the mariners in veterans&#39; legislation. It traces the wartime experience of the mariners and discusses their postwar treatment. By examining the factors that contributed to the mariners&#39; initial exclusion as veterans, this study sheds light on the complex process whereby the state evaluates and then reassesses what is owed to those who serve. It demonstrates that concepts of  veteranhood  are fluid, and, that in the case of the Merchant Navy, once neglected wartime narratives can be reincorporated into the nation&#39;s military past. In the case of the Merchant Navy, renewed public engagement with Canada&#39;s social memory of its involvement in two world wars helped the merchant seamen find an audience willing to validate their claims. This study of Merchant Navy redress serves as an exploration into the nature of the state-veteran relationship.","Military","Canada","","","","","","application/pdf","","Copyright the author, all rights reserved, unless otherwise indicated.","","","https://curve.carleton.ca/system/files/etd/2e3315e9-7655-4133-8bed-80ad2329074a/etd_pdf/d27295463cda90d7813b5dba1d49b296/moore-thekissofdeathbestowedwithgratitudethepostwar.pdf","https://shawngraham.github.io/test-collectionbuilder/items/hist_59.html"
"Being Irish on the Prairies: Repertoire, Performance, and Environment in Oral History Narratives of Winnipeg Irish Canadians","Boschmann, Kathryn","2015","This thesis applies Diana Taylor&#39;s concept of repertoire to oral history interviews with ten first generation Irish Canadians living in Winnipeg who emigrated between 1957 and 2012. It argues that traditional performances, such as music and dance, have acquired a provenance with particular histories. This has made them both meaningful and politically contentious expressions of Irish identity. Memory tensions emerged when the performances were integrated into a new repertoire in Canada. Taylor&#39;s concept is modified and applied to embodied encounters with landscape and weather. As experiences of a new place are incorporated into a spatial repertoire, they become infused with emotional significance, and emigrants&#39; stories about visiting Ireland, surviving Manitoban winters, or driving across flat prairie spaces, communicate feelings of displacement and belonging. Accompanying this thesis is a website which further explores emotional memories in these interviews through an audio exhibit (www.beingirishontheprairies.ca).","Canadian History;European History","Canada;Winnipeg","","","","","","application/pdf","","Copyright the author, all rights reserved, unless otherwise indicated.","","","https://curve.carleton.ca/system/files/etd/be5dbb2b-7d2f-453b-8925-9da906b76ad1/etd_pdf/aefac071d087f501832d175fdf1ad073/boschmann-beingirishontheprairiesrepertoireperformance.pdf","https://shawngraham.github.io/test-collectionbuilder/items/hist_60.html"
"An (Im)Balance of Expectations: Civil Defence in Ottawa, 1951-1962","Sopko, Andrew","2015","Throughout the Cold War, the world lived with the fear that international tensions might lead to the outbreak of a devastating nuclear conflict. This fear drove Canadian policy makers to pursue civil defence, which entailed the organization of local communities and patriotic citizens to assist with the defence of their country by preparing for a nuclear conflict. Ottawa, as the national capital, was a possible target of a nuclear strike by the Soviet Union. From 1950-1962, the high watermark of civil defence, the city uneasily managed to reconcile the competing interests of stakeholders and the public with its civic responsibilities, evolving circumstances, and changeable federal policies. In the end, however, municipal squabbling pushed balance over the line into imbalance, and Ottawa&#39;s civil defence program came crashing down.","Canadian History; Urban and Regional Planning","Canada;Ottawa","","","","","","application/pdf","","Copyright the author, all rights reserved, unless otherwise indicated.","","","https://curve.carleton.ca/system/files/etd/a4886377-27be-4b16-a5b7-8ca4030a1323/etd_pdf/792f13e85398784a06e974ef0f9cdfdb/sopko-animbalanceofexpectationscivildefenceinottawa.pdf","https://shawngraham.github.io/test-collectionbuilder/items/hist_61.html"
"Making Motoring American: The Integration of the Working Class in Automobile Film Advertising of the 1930s","Benson, Kaitlyn","2015","This thesis examines a selection of automobile film advertisements from 1930 to America&#39;s formal declaration of war in 1941 as a means of analyzing the cultural narrative associated with automobile promotion throughout the Great Depression. The films depict the white, working-class male as the model driver and the automobile as a bastion of safety, as well as the key to a prosperous economy. While this shift in the representation of the automobile and its driver can be attributed in part to the reported saturation of the automobile market through the latter part of the 1920s and the economic uncertainty of the 1930s, semiotic analysis of the films indicates that the change was more than an effort to attract prospective consumers. Rather, the films&#39; idealization of the working class was tailored to present a narrative of motoring that supported automakers and industrial capitalism in a period when both were being challenged.","United States History; American Studies; Transportation","US","","","","","","application/pdf","","Copyright the author, all rights reserved, unless otherwise indicated.","","","https://curve.carleton.ca/system/files/etd/dee01eac-76d9-467b-a9df-a51ba676bdc7/etd_pdf/d0d343fa0e0195471b43bec253305b24/benson-makingmotoringamericantheintegrationofthe.pdf","https://shawngraham.github.io/test-collectionbuilder/items/hist_62.html"
"The Russian-Soviet Resettlement Policies and Their Implications for Ethno-Territorial Conflicts in the South Caucasus","Shafiyev, Farid","2015","This dissertation investigates the Imperial Russian and Soviet resettlement policies in the South Caucasus with a focus on Azerbaijan, and their implications for the ethno-territorial conflicts in the region. The periods of 1817-1840 as well as from 1878- 1914 during Russian Imperial rule are juxtaposed to the period of 1941-1953 of the Soviet administration in the South Caucasus. The selection of this time frame is based on the most active phases of the resettlement practices carried out by respective empires in the South Caucasian borderland. According to this time period, the most affected ethnic groups involved in the Russian-Soviet resettlement policies were Armenians, Azerbaijanis, Germans and Russians.","Russian and Soviet","USSR;Azerbaijan","","","","","","application/pdf","","Copyright the author, all rights reserved, unless otherwise indicated.","","","https://curve.carleton.ca/system/files/etd/6f8fbd09-0bcb-4428-859e-42138ed25844/etd_pdf/cca6fb951143a6d272e32959b6d0a049/shafiyev-therussiansovietresettlementpoliciesandtheir.pdf","https://shawngraham.github.io/test-collectionbuilder/items/hist_63.html"
"Pursuing Human Techniques of Progressive Justice: The Ethical Assumptions of Early-to-Mid-Twentieth-Century English-Canadian Penal Reformers","Kropf, Joel Eugene","2015","In all portions of the nineteenth and twentieth centuries, at least a little of the commentary in Canada concerning criminal justice discussed reforms that might in some way make for a more promising genre of penal activity in the colony or country. This dissertation allows us to probe reformist commentary from the first two thirds of the twentieth century, primarily discourse between 1920 and the mid-1950s regarding imprisonment and parole-related measures pertaining to adult men. Scholarship on nineteenth- or twentieth-century reformist penal activity, or on social reform more generally, has often identified ways in which such activity proved quite consonant with more conservative assumptions or outcomes than would sit well with present-day progressive readers. My dissertation, by contrast, numbers among the studies which associate penal reformers&#39; outlook primarily with liberal or progressive perspectives. In this particular study, the liberal tenor of their mentality will register in our minds through an assessment of the ethical assumptions that reformers displayed, especially their assumptions concerning condemnation, exclusion, coercion, and compassion. Reformers‚speeches, publications, and so forth allow us to highlight four ‚moral sources‚ due to which they thought their penal perspective qualified as compelling: Christianity, the notion of humanness, the meritoriousness of technique, and the idea of justice. Their commentary assigned priority to technique-related rhetoric, to statements that associated penal activity, including rehabilitative tactics, with instrumentalist plans through which ‚the protection‚ with which the citizenry was enamoured would materialize. Yet even though reformers&#39; arguments savoured primarily of instrumentalist assumptions, neither justice nor compassion was wholly neglected in their discourse. In fact, reformers hit upon a defensible affirmation of quasi-compassionate ideas thanks to instrumentalist rhetoric itself.","Canadian History; Criminology and Penology; Philosophy","Canada","","","","","","application/pdf","","Copyright the author, all rights reserved, unless otherwise indicated.","","","https://curve.carleton.ca/system/files/etd/0c79e216-8c06-4330-a5a4-37350a9d08a0/etd_pdf/ae0cb4ed81121793ac4d749641b19fda/kropf-pursuinghumantechniquesofprogressivejustice.pdf","https://shawngraham.github.io/test-collectionbuilder/items/hist_64.html"
"Remembering the Civil Service: Work and Life Stories of Indigenous Labourers in the Canadian Federal Civil Service","Seguin, Alisha","2015","This thesis examines the life stories of six Indigenous civil servants who worked in the Canadian federal public service from the late 1960s until today. To contextualize these lived experiences, this thesis also explores the development of a culture of merit, representation, and employment equity within the federal civil service in the twentieth century. Stories of work were provided within the frame of larger life stories, allowing narrators to speak to both their perceptions of the civil service as an employer and also the role and meaning of this work within their lives. As a result, this thesis argues that the complexity of individual experiences, identity formation, and memory make it difficult to generalize about  the Indigenous civil servant  in any meaningful way. Relatedly, this thesis also emphasizes both the enriching possibilities and the unique challenges of conducting life story oral interviews and  sharing authority  in collaborative research projects.","Canadian History","Canada","","","","","","application/pdf","","Copyright the author, all rights reserved, unless otherwise indicated.","","","https://curve.carleton.ca/system/files/etd/ea7a01a3-97c1-4a1f-bbb5-bd6ed90e9f35/etd_pdf/caf371a3711cb9832d0b47bcd06eddbf/seguin-rememberingthecivilserviceworkandlifestories.pdf","https://shawngraham.github.io/test-collectionbuilder/items/hist_65.html"
"The Rhetoric of Dominion Income Taxation and the Modern Political Imaginary in Canada, 1910-1945","Tough, David G.","2014","This thesis uses Quentin Skinner&#39;s study of rhetoric to interrogate the origins of the modern political imaginary in Canada between 1910 and 1945. The Dominion taxing power was the object of a sustained rhetorical critique in the early 20th century, in which the Liberal and Conservative party identities, built around the protective tariff in the post-Confederation era, were slowly weakened and supplemented with a new representation of difference: the left-right spectrum. Beginning in 1910 with the Grain Growers&#39; Guide, the nationalist resonances of the Dominion tariff were cast as duplicitous distractions from exploitation and fiscal inefficiency. During the First World War, this characterization of the tariff and the political differences it produced became tied to demands for ‚Äö√Ñ√≤conscription of wealth,&#39; as the basis of a fairer and more democratic political culture. A species of what Ian McKay calls a  people&#39;s enlightenment,  this critique resulted in the first Dominion income tax, the Income War Tax of 1917. A Dominion income tax introduced the new possibility of transferring income that had been taxed progressively from one region to another. The catastrophic economic depression of the 1930s exposed the weakness of the tariff as a fiscal instrument; a more powerful Dominion income tax was cast as the necessary solution to the crisis, and was duly introduced in 1941 and 1942. With these changes, income taxation became a universal burden and the possible basis for large-scale Dominion social programs like the Family Allowances ‚Äö√Ñ√¨ a combination that Shirley Tillotson calls  the citizenship of contribution.  In recognition of this new possibility, party programs for the redistribution of income were aligned on a left-right spectrum. The displacement of the old party system and the establishment of the new spectrum were both examples of what is here termed political modernism, creating a new and modern political imaginary for a democratic politics of redistribution.","Canada - History; Finance; Rhetoric","Canada","","","","","","application/pdf","","Copyright the author, all rights reserved, unless otherwise indicated.","","","https://curve.carleton.ca/system/files/etd/0dc8a20a-9877-4a7f-a420-7df7d609095d/etd_pdf/13b74f1a602c66e28376d16866344a0a/tough-therhetoricofdominionincometaxationandthe.pdf","https://shawngraham.github.io/test-collectionbuilder/items/hist_66.html"
"Solidarity by Association: The Unionization of Faculty, Academic Librarians and Support Staff at Carleton University (1973-1976)","Attridge Bufton, Martha Carolyn","2014","In the mid-1970s, three employee groups at Carleton University changed campus labour relations dramatically: the professors and librarians who belonged to the Carleton University Academic Staff formed the first Ontario faculty union in June 1975; nine months later the Ontario Labour Relations Board certified the Carleton University Support Staff Association as the bargaining agent for the administrative and technical staff. The history of faculty labour action at Carleton has been told but not that of either academic librarians or support staff so this case of unionism provides a unique opportunity to compare their experiences. Working primarily with oral histories, I argue that status was critical to mobilizing labour action at Carleton. These employees, many of whom were women‚ wanted a fair workplace but deliberately chose an independent association over a trade union because such  solidarity by association  was compatible with their deeply held beliefs about their work and place on campus.","SOCIAL SCIENCES Canadian; SOCIAL SCIENCES Gender Studies; SOCIAL SCIENCES General","Canada;Carleton University","","","","","","application/pdf","","Copyright the author, all rights reserved, unless otherwise indicated.","","","https://curve.carleton.ca/system/files/etd/31a090f1-66ea-4675-ada8-5d1fe073be71/etd_pdf/53a937c5cce65a2d916ea68d4124b13a/attridgebufton-solidaritybyassociationtheunionizationoffaculty.pdf","https://shawngraham.github.io/test-collectionbuilder/items/hist_67.html"
"When Europe Re-Built the Neighbourhood: City Beautiful, Hull-House, and the Emergence of American Internationalism, 1890-1920","Mahoney, Maureen Anne","2014","Alice Hamilton, Grace Abbott, and Frederic C. Howe were members of a well-educated, white middle-class that burgeoned around the turn-of-the-century in the United States, and they embraced  Progressivism  and pacifism. In the flow of people, ideas, and culture that criss-crossed the North Atlantic, creating the intricate networks that formed an  international consciousness,  Hamilton, Abbott, and Howe were also involved.","United States History","US","","","","","","application/pdf","","Copyright the author, all rights reserved, unless otherwise indicated.","","","https://curve.carleton.ca/system/files/etd/a1274738-e87a-4e22-884d-b1a5dc51a9fc/etd_pdf/591089cf1dff14da6f31b4a29c0aefe5/mahoney-wheneuroperebuilttheneighbourhoodcitybeautiful.pdf","https://shawngraham.github.io/test-collectionbuilder/items/hist_68.html"
"Hidden Authority, Public Display: Representations of First Nations Peoples at the Calgary Stampede, 1912-1970","Joudrey, Susan Louise","2014","This dissertation addresses the intersections of race, performance, and cultural representation in Canada&#39;s prairie west by examining settler expectations of First Nations participation in the Calgary Exhibition and Stampede, 1912-1970. In North America, Aboriginal peoples have played prominent roles in historical pageants and Wild West shows, including the Calgary Stampede. These venues presented specific depictions of the North American indigenous population and reinforced constructed identities that were, at times, in conflict with one another. At the Calgary Exhibition and Stampede members of the Siksika, Kainai, Piikani, Tsuu T&#39;ina, and Stoney Nakoda nations worked with (and sometimes against) Stampede organizers, Indian Agents, and city officials to lend authenticity to the western narrative.","Canadian History;First Nations;Study and teaching; Gender mainstreaming","Canada;Alberta;Calgary","","","","","","application/pdf","","Copyright the author, all rights reserved, unless otherwise indicated.","","","https://curve.carleton.ca/system/files/etd/cd9071a6-55e9-4501-ba66-9dff7fdcdee2/etd_pdf/e2d917ea59083ca9b103178e6da430d7/joudrey-hiddenauthoritypublicdisplayrepresentations.pdf","https://shawngraham.github.io/test-collectionbuilder/items/hist_69.html"
"Domestic Harmonies: Musical Activity in Southwestern Ontario, 1880-1920","Morrison, Madelaine E.","2014","This dissertation studies domestic musical activity in Southwestern Ontario between 1880 and 1920. It argues that home musical activity was linked to social, cultural, commercial, and even political influences in the public realm. Using Toronto, Hamilton, London, and Guelph as sample communities, it investigates the prescriptive discourses surrounding music making as well as the more variegated realm of actual behaviour. The structure of the chapters mirrors the study&#39;s overall argument, moving back and forth over the culturally constituted public-private divide. The discussion considers the influence of parlour spaces, gendered prescriptions, ideals of refinement, and the mediating influence of individual personality and situation. It also examines instrument purchase, music education, sheet music repertoire, and the introduction of the player piano. The final two chapters of this study address the Great War&#39;s effect on the status quo, stressing themes of continuity as well as change in musical practices. The dissertation concludes with a short summary of the post-war decline of both the Canadian piano industry and amateur music making in general. Unbeknownst to contemporaries, by the year 1920, domestic musicianship had passed its peak.","Music - Ontario;Canada - History","Canada;Ontario;Toronto;Hamilton;London;Guelph","","","","","","application/pdf","","Copyright the author, all rights reserved, unless otherwise indicated.","","","https://curve.carleton.ca/system/files/etd/2e175059-9dd0-46df-a3c2-6639032d77d7/etd_pdf/7ff00d22c828f16c3f931efc66e7b7fd/morrison-domesticharmoniesmusicalactivityinsouthwestern.pdf","https://shawngraham.github.io/test-collectionbuilder/items/hist_70.html"
"From Acceptance to Assimilation: The Changing Role of Travellers in the (Re)Creation of Irish National Identity, 1920s-1960s","Gurski, Erin","2014","This thesis looks at the place of the formerly nomadic Irish Travellers in the construction of a complex folklore-based Irish national identity in the mid-twentieth century. Using the archives of the Irish Folklore Commission, this thesis argues that as the Irish government constructed Ireland&#39;s new national identity following independence in1922, the Travellers were included in this identity based on their community&#39;s possession of Irish folklore. In the second half of the twentieth century, however, as the importance of folklore in the creation of the national identity diminished in favour of modernization, the government gradually singled out the Travellers as a problematic minority that needed to be assimilated into the majority population. By challenging the existing historiography, this research highlights the importance of discussing the historical contingency, as opposed to inevitability, of constructions of the Traveller as &#39;Other&#39; to encourage a more comprehensive and therefore less deterministic history.","European History; Modern","Ireland","","","","","","application/pdf","","Copyright the author, all rights reserved, unless otherwise indicated.","","","https://curve.carleton.ca/system/files/etd/b1d72d0b-0cea-4196-ac5c-ae39ca453c8f/etd_pdf/bfe6c2c0eb083f30ac149c0c18992be8/gurski-fromacceptancetoassimilationthechangingrole.pdf","https://shawngraham.github.io/test-collectionbuilder/items/hist_71.html"
